# theta [deg]	wasp_takeoff_angle [deg]	n_b	lat_0 [deg]	lon_0 [deg]	Travel Time [s]	Celerity [km/s]	Turning Height [km]	Inclination [deg]	Back Azimuth [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]
1	110	0	37.003112	48.945884	1874.3227	0.27692972	112.39661	0.99993846	-66.624496	-58.595176	-0.36020658
2	110	0	37.027297	48.875739	1854.461	0.27623819	112.41592	1.9999359	-66.666725	-61.424672	-0.36106254
3	110	0	37.051188	48.806282	1834.7898	0.2755417	112.44809	2.9998418	-66.708564	-63.090424	-0.36244608
4	110	0	37.075109	48.736576	1815.0518	0.2748293	112.49309	3.9998898	-66.750575	-64.300645	-0.36436798
5	110	0	37.099285	48.665962	1795.0698	0.27409205	112.5509	4.999717	-66.793157	-65.265493	-0.36684245
6	110	0	37.123858	48.594016	1774.7343	0.27332275	112.62147	5.9998428	-66.836567	-66.069293	-0.36988691
7	110	0	37.148881	48.520575	1754.0095	0.27251647	112.70478	6.9998236	-66.880905	-66.753937	-0.37352192
8	110	0	37.174354	48.445624	1732.9029	0.27166961	112.80076	7.9997384	-66.92618	-67.34306	-0.37777113
9	110	0	37.200239	48.369264	1711.4541	0.27077969	112.90937	8.9998348	-66.972333	-67.852733	-0.38266122
10	110	0	37.226467	48.291695	1689.7297	0.26984532	113.03057	9.9998227	-67.019246	-68.293898	-0.38822207
11	110	0	37.252957	48.213142	1667.8033	0.26886558	113.16429	10.999939	-67.066783	-68.675963	-0.39448497
12	110	0	37.279618	48.133869	1645.7588	0.26784019	113.31048	11.999881	-67.114784	-69.006377	-0.40148261
13	110	0	37.306364	48.05413	1623.676	0.26676904	113.46909	12.999844	-67.163097	-69.291309	-0.40925093
14	110	0	37.333108	47.974178	1601.6331	0.26565232	113.64004	13.999866	-67.211569	-69.53622	-0.41782891
15	110	0	37.359769	47.894257	1579.7058	0.26449047	113.8233	14.999781	-67.260052	-69.74578	-0.4272587
16	110	0	37.386276	47.814582	1557.9592	0.26328394	114.01879	15.999775	-67.308415	-69.924205	-0.43758602
17	110	0	37.412562	47.735356	1536.455	0.26203337	114.22647	16.999777	-67.356534	-70.074693	-0.44886198
18	110	0	37.438569	47.656759	1515.2474	0.2607395	114.44633	17.999742	-67.4043	-70.200515	-0.46114403
19	110	0	37.46425	47.57894	1494.3803	0.25940298	114.67833	18.99994	-67.451621	-70.304492	-0.47449335
20	110	0	37.489555	47.502053	1473.8996	0.25802486	114.92247	19.999746	-67.498402	-70.388989	-0.48897628

0	120	0	33.573991	53.289205	3789.3024	0.27762664	112.39016	0.00060496549	-54.180371	-46.643121	-0.72775206
1	120	0	36.286789	48.466863	1874.3227	0.27692972	112.39661	0.99993846	-56.943422	-58.523223	-0.36992477
2	120	0	36.32005	48.403401	1854.461	0.27623819	112.41592	1.9999359	-56.980995	-61.352889	-0.37080766
3	120	0	36.35293	48.340548	1834.7898	0.2755417	112.44809	2.9998418	-57.018237	-63.018826	-0.37223068
4	120	0	36.385875	48.277457	1815.0518	0.2748293	112.49309	3.9998898	-57.055649	-64.22922	-0.37420501
5	120	0	36.419194	48.213529	1795.0698	0.27409205	112.5509	4.999717	-57.093587	-65.194215	-0.37674536
6	120	0	36.453084	48.148382	1774.7343	0.27332275	112.62147	5.9998428	-57.13228	-65.998134	-0.37986967
7	120	0	36.48762	48.081865	1754.0095	0.27251647	112.70478	6.9998236	-57.171818	-66.682874	-0.38359913
8	120	0	36.522804	48.013965	1732.9029	0.27166961	112.80076	7.9997384	-57.212212	-67.27208	-0.38795804
9	120	0	36.558585	47.944773	1711.4541	0.27077969	112.90937	8.9998348	-57.253408	-67.781834	-0.39297382
10	120	0	36.594867	47.874468	1689.7297	0.26984532	113.03057	9.9998227	-57.295303	-68.223086	-0.39867718
11	120	0	36.631541	47.803253	1667.8033	0.26886558	113.16429	10.999939	-57.337776	-68.605254	-0.4051002
12	120	0	36.668483	47.731368	1645.7588	0.26784019	113.31048	11.999881	-57.380686	-68.935792	-0.41227642
13	120	0	36.705571	47.659041	1623.676	0.26676904	113.46909	12.999844	-57.423897	-69.220879	-0.4202427
14	120	0	36.742689	47.586503	1601.6331	0.26565232	113.64004	13.999866	-57.467272	-69.46598	-0.42903897
15	120	0	36.779722	47.513975	1579.7058	0.26449047	113.8233	14.999781	-57.510679	-69.675771	-0.43870843
16	120	0	36.81657	47.441652	1557.9592	0.26328394	114.01879	15.999775	-57.554	-69.854472	-0.44929791
17	120	0	36.853143	47.369717	1536.455	0.26203337	114.22647	16.999777	-57.597126	-70.005287	-0.46085978
18	120	0	36.889356	47.298336	1515.2474	0.2607395	114.44633	17.999742	-57.639956	-70.131488	-0.47345288
19	120	0	36.925144	47.227643	1494.3803	0.25940298	114.67833	18.99994	-57.682409	-70.235901	-0.48713989
20	120	0	36.960438	47.15778	1473.8996	0.25802486	114.92247	19.999746	-57.724397	-70.320892	-0.50198872

0	130	0	32.323629	52.020862	3789.3024	0.27762664	112.39016	0.00060495531	-45.005659	-46.501283	-0.75536519
1	130	0	35.644965	47.850452	1874.3227	0.27692972	112.39661	0.99993846	-47.338462	-58.380349	-0.38293373
2	130	0	35.686295	47.795217	1854.461	0.27623819	112.41592	1.9999359	-47.370668	-61.211387	-0.38383427
3	130	0	35.727169	47.740502	1834.7898	0.2755417	112.44809	2.9998418	-47.402601	-62.878699	-0.38529183
4	130	0	35.768139	47.685569	1815.0518	0.2748293	112.49309	3.9998898	-47.434694	-64.090429	-0.38731781
5	130	0	35.80959	47.629899	1795.0698	0.27409205	112.5509	4.999717	-47.46725	-65.056703	-0.3899273
6	130	0	35.85177	47.573155	1774.7343	0.27332275	112.62147	5.9998428	-47.500467	-65.861848	-0.39313878
7	130	0	35.894771	47.515207	1754.0095	0.27251647	112.70478	6.9998236	-47.534424	-66.547774	-0.39697407
8	130	0	35.938598	47.456042	1732.9029	0.27166961	112.80076	7.9997384	-47.569131	-67.138145	-0.40145828
9	130	0	35.983188	47.39574	1711.4541	0.27077969	112.90937	8.9998348	-47.604542	-67.64906	-0.40661972
10	130	0	36.028422	47.334455	1689.7297	0.26984532	113.03057	9.9998227	-47.64057	-68.091485	-0.41249008
11	130	0	36.074167	47.272364	1667.8033	0.26886558	113.16429	10.999939	-47.677111	-68.47485	-0.41910249
12	130	0	36.120266	47.209675	1645.7588	0.26784019	113.31048	11.999881	-47.714045	-68.806621	-0.42649153
13	130	0	36.166569	47.146588	1623.676	0.26676904	113.46909	12.999844	-47.751254	-69.092984	-0.4346952
14	130	0	36.212931	47.083302	1601.6331	0.26565232	113.64004	13.999866	-47.788622	-69.339411	-0.44375464
15	130	0	36.259208	47.020012	1579.7058	0.26449047	113.8233	14.999781	-47.826033	-69.550583	-0.45371437
16	130	0	36.305276	46.956886	1557.9592	0.26328394	114.01879	15.999775	-47.863389	-69.730724	-0.4646226
17	130	0	36.351021	46.894086	1536.455	0.26203337	114.22647	16.999777	-47.900592	-69.883043	-0.47653324
18	130	0	36.396337	46.831755	1515.2474	0.2607395	114.44633	17.999742	-47.937557	-70.010815	-0.48950691
19	130	0	36.441142	46.770013	1494.3803	0.25940298	114.67833	18.99994	-47.974213	-70.116868	-0.50360811
20	130	0	36.485349	46.708982	1473.8996	0.25802486	114.92247	19.999746	-48.010484	-70.20357	-0.51890672

0	140	0	31.258041	50.551059	3789.3024	0.27762664	112.39016	0.00060496568	-35.915433	-46.267982	-0.7865968
1	140	0	35.095052	47.116242	1874.3227	0.27692972	112.39661	0.99993846	-37.796484	-58.183082	-0.39723332
2	140	0	35.143252	47.070518	1854.461	0.27623819	112.41592	1.9999359	-37.822788	-61.016582	-0.39814393
3	140	0	35.190931	47.025219	1834.7898	0.2755417	112.44809	2.9998418	-37.848879	-62.686344	-0.39963018
4	140	0	35.238734	46.979732	1815.0518	0.2748293	112.49309	3.9998898	-37.875109	-63.900458	-0.40170357
5	140	0	35.287111	46.933627	1795.0698	0.27409205	112.5509	4.999717	-37.901727	-64.869031	-0.40437945
6	140	0	35.336351	46.886626	1774.7343	0.27332275	112.62147	5.9998428	-37.928894	-65.676397	-0.40767677
7	140	0	35.386564	46.83862	1754.0095	0.27251647	112.70478	6.9998236	-37.956677	-66.36449	-0.41161802
8	140	0	35.437754	46.789599	1732.9029	0.27166961	112.80076	7.9997384	-37.985083	-66.956997	-0.41622908
9	140	0	35.489851	46.739626	1711.4541	0.27077969	112.90937	8.9998348	-38.014076	-67.470043	-0.4215392
10	140	0	35.542715	46.688831	1689.7297	0.26984532	113.03057	9.9998227	-38.043585	-67.914614	-0.42758114
11	140	0	35.596191	46.637359	1667.8033	0.26886558	113.16429	10.999939	-38.073526	-68.300154	-0.4343891
12	140	0	35.650097	46.585382	1645.7588	0.26784019	113.31048	11.999881	-38.1038	-68.634143	-0.44199877
13	140	0	35.704258	46.533066	1623.676	0.26676904	113.46909	12.999844	-38.134311	-68.922775	-0.45044936
14	140	0	35.758503	46.480576	1601.6331	0.26565232	113.64004	13.999866	-38.164965	-69.17153	-0.45978332
15	140	0	35.812666	46.428073	1579.7058	0.26449047	113.8233	14.999781	-38.195666	-69.385092	-0.47004653
16	140	0	35.8666	46.375696	1557.9592	0.26328394	114.01879	15.999775	-38.226334	-69.567692	-0.48128869
17	140	0	35.920171	46.323581	1536.455	0.26203337	114.22647	16.999777	-38.256888	-69.722539	-0.49356536
18	140	0	35.973257	46.271846	1515.2474	0.2607395	114.44633	17.999742	-38.287258	-69.852913	-0.506939
19	140	0	36.025759	46.22059	1494.3803	0.25940298	114.67833	18.99994	-38.317385	-69.961641	-0.52147607
20	140	0	36.077576	46.169916	1473.8996	0.25802486	114.92247	19.999746	-38.347208	-70.051093	-0.53724854

0	150	0	30.402453	48.918928	3789.3024	0.27762664	112.39016	0.0006049603	-26.887348	-45.978944	-0.81651357
1	150	0	34.651697	46.285715	1874.3227	0.27692972	112.39661	0.99993846	-28.304373	-57.96054	-0.41078757
2	150	0	34.705406	46.250527	1854.461	0.27623819	112.41592	1.9999359	-28.324393	-60.797239	-0.41170318
3	150	0	34.758544	46.215662	1834.7898	0.2755417	112.44809	2.9998418	-28.344257	-62.470175	-0.41321214
4	150	0	34.811829	46.18065	1815.0518	0.2748293	112.49309	3.9998898	-28.364232	-63.687376	-0.41532593
5	150	0	34.865763	46.145157	1795.0698	0.27409205	112.5509	4.999717	-28.384508	-64.65893	-0.41806011
6	150	0	34.920669	46.10897	1774.7343	0.27332275	112.62147	5.9998428	-28.405209	-65.469184	-0.42143402
7	150	0	34.976668	46.072005	1754.0095	0.27251647	112.70478	6.9998236	-28.426384	-66.160096	-0.42547071
8	150	0	35.033769	46.034254	1732.9029	0.27166961	112.80076	7.9997384	-28.44804	-66.755385	-0.43019678
9	150	0	35.091891	45.995765	1711.4541	0.27077969	112.90937	8.9998348	-28.470151	-67.271204	-0.43564235
10	150	0	35.150881	45.956637	1689.7297	0.26984532	113.03057	9.9998227	-28.492661	-67.71856	-0.44184112
11	150	0	35.210564	45.916983	1667.8033	0.26886558	113.16429	10.999939	-28.515508	-68.106916	-0.44882833
12	150	0	35.270739	45.876934	1645.7588	0.26784019	113.31048	11.999881	-28.538617	-68.443762	-0.45664069
13	150	0	35.331211	45.836619	1623.676	0.26676904	113.46909	12.999844	-28.561914	-68.735304	-0.46531854
14	150	0	35.391789	45.796164	1601.6331	0.26565232	113.64004	13.999866	-28.585327	-68.987026	-0.47490553
15	150	0	35.452286	45.755693	1579.7058	0.26449047	113.8233	14.999781	-28.608784	-69.203618	-0.48544881
16	150	0	35.512541	45.715314	1557.9592	0.26328394	114.01879	15.999775	-28.632221	-69.389312	-0.49699946
17	150	0	35.572401	45.675131	1536.455	0.26203337	114.22647	16.999777	-28.65558	-69.547322	-0.50961458
18	150	0	35.631731	45.635236	1515.2474	0.2607395	114.44633	17.999742	-28.678805	-69.680926	-0.52335835
19	150	0	35.690421	45.595704	1494.3803	0.25940298	114.67833	18.99994	-28.701852	-69.792954	-0.53829903
20	150	0	35.748354	45.556616	1473.8996	0.25802486	114.92247	19.999746	-28.724672	-69.885773	-0.55451052

0	160	0	29.776822	47.164331	3789.3024	0.27762664	112.39016	0.00060497061	-17.902476	-45.691034	-0.84094972
1	160	0	34.32654	45.381772	1874.3227	0.27692972	112.39661	0.99993846	-18.849252	-57.752717	-0.42182213
2	160	0	34.384274	45.357889	1854.461	0.27623819	112.41592	1.9999359	-18.86273	-60.59271	-0.42273988
3	160	0	34.441401	45.334222	1834.7898	0.2755417	112.44809	2.9998418	-18.876105	-62.268905	-0.42426543
4	160	0	34.498691	45.310453	1815.0518	0.2748293	112.49309	3.9998898	-18.889558	-63.489273	-0.42641021
5	160	0	34.556686	45.286357	1795.0698	0.27409205	112.5509	4.999717	-18.903216	-64.463883	-0.4291899
6	160	0	34.615732	45.261787	1774.7343	0.27332275	112.62147	5.9998428	-18.917163	-65.277099	-0.43262415
7	160	0	34.675961	45.236686	1754.0095	0.27251647	112.70478	6.9998236	-18.931433	-65.970904	-0.43673644
8	160	0	34.737382	45.21105	1732.9029	0.27166961	112.80076	7.9997384	-18.94603	-66.569046	-0.44155395
9	160	0	34.799909	45.18491	1711.4541	0.27077969	112.90937	8.9998348	-18.960936	-67.087704	-0.44710746
10	160	0	34.863376	45.158333	1689.7297	0.26984532	113.03057	9.9998227	-18.976116	-67.537907	-0.45343148
11	160	0	34.927599	45.131397	1667.8033	0.26886558	113.16429	10.999939	-18.991526	-67.929134	-0.46056205
12	160	0	34.992358	45.10419	1645.7588	0.26784019	113.31048	11.999881	-19.007115	-68.268886	-0.46853669
13	160	0	35.057445	45.076799	1623.676	0.26676904	113.46909	12.999844	-19.022836	-68.563376	-0.47739667
14	160	0	35.122654	45.049311	1601.6331	0.26565232	113.64004	13.999866	-19.038638	-68.818095	-0.48718659
15	160	0	35.187784	45.021809	1579.7058	0.26449047	113.8233	14.999781	-19.054473	-69.037735	-0.49795465
16	160	0	35.252663	44.994367	1557.9592	0.26328394	114.01879	15.999775	-19.070299	-69.22653	-0.50975302
17	160	0	35.317124	44.967055	1536.455	0.26203337	114.22647	16.999777	-19.086076	-69.387694	-0.52264002
18	160	0	35.381022	44.939937	1515.2474	0.2607395	114.44633	17.999742	-19.101765	-69.524508	-0.53668124
19	160	0	35.444239	44.913063	1494.3803	0.25940298	114.67833	18.99994	-19.117338	-69.6398	-0.55194638
20	160	0	35.506649	44.886487	1473.8996	0.25802486	114.92247	19.999746	-19.132761	-69.735936	-0.5685109

0	170	0	29.395601	45.327725	3789.3024	0.27762664	112.39016	0.00060496918	-8.9447202	-45.475153	-0.8568438
1	170	0	34.12803	44.42834	1874.3227	0.27692972	112.39661	0.99993846	-9.4185581	-57.603735	-0.42899497
2	170	0	34.188215	44.41627	1854.461	0.27623819	112.41592	1.9999359	-9.4253347	-60.446252	-0.42991348
3	170	0	34.24777	44.40431	1834.7898	0.2755417	112.44809	2.9998418	-9.4320605	-62.124938	-0.43144919
4	170	0	34.3075	44.392298	1815.0518	0.2748293	112.49309	3.9998898	-9.4388259	-63.347724	-0.43361349
5	170	0	34.367968	44.380119	1795.0698	0.27409205	112.5509	4.999717	-9.4456956	-64.324669	-0.43642214
6	170	0	34.429536	44.367701	1774.7343	0.27332275	112.62147	5.9998428	-9.4527114	-65.140144	-0.43989496
7	170	0	34.492341	44.355013	1754.0095	0.27251647	112.70478	6.9998236	-9.4598905	-65.836155	-0.44405571
8	170	0	34.556394	44.342054	1732.9029	0.27166961	112.80076	7.9997384	-9.4672351	-66.436469	-0.44893195
9	170	0	34.621604	44.32884	1711.4541	0.27077969	112.90937	8.9998348	-9.4747366	-66.957288	-0.45455489
10	170	0	34.687799	44.315405	1689.7297	0.26984532	113.03057	9.9998227	-9.4823763	-67.409655	-0.46095954
11	170	0	34.754787	44.301786	1667.8033	0.26886558	113.16429	10.999939	-9.4901331	-67.803059	-0.46818245
12	170	0	34.822339	44.288031	1645.7588	0.26784019	113.31048	11.999881	-9.4979815	-68.145011	-0.47626171
13	170	0	34.890238	44.274181	1623.676	0.26676904	113.46909	12.999844	-9.5058968	-68.441729	-0.48523913
14	170	0	34.958269	44.260281	1601.6331	0.26565232	113.64004	13.999866	-9.5138543	-68.698707	-0.49515997
15	170	0	35.026223	44.246374	1579.7058	0.26449047	113.8233	14.999781	-9.5218298	-68.920638	-0.50607308
16	170	0	35.093919	44.232496	1557.9592	0.26328394	114.01879	15.999775	-9.5298017	-69.111757	-0.51803134
17	170	0	35.161185	44.218683	1536.455	0.26203337	114.22647	16.999777	-9.5377496	-69.275281	-0.53109388
18	170	0	35.227868	44.204967	1515.2474	0.2607395	114.44633	17.999742	-9.545655	-69.414489	-0.54532717
19	170	0	35.293844	44.191374	1494.3803	0.25940298	114.67833	18.99994	-9.5535023	-69.532208	-0.56080186
20	170	0	35.358983	44.177931	1473.8996	0.25802486	114.92247	19.999746	-9.5612755	-69.630803	-0.57759442

0	180	0	29.26755	43.45	3789.3024	0.27762664	112.39016	0.0006049686	-1.4210855e-14	-45.394538	-0.86234722
1	180	0	34.061288	43.45	1874.3227	0.27692972	112.39661	0.99993846	-1.4210855e-14	-57.549418	-0.43147881
2	180	0	34.122295	43.45	1854.461	0.27623819	112.41592	1.9999359	-1.4210855e-14	-60.392888	-0.43239749
3	180	0	34.182666	43.45	1834.7898	0.2755417	112.44809	2.9998418	-1.4210855e-14	-62.072514	-0.43393663
4	180	0	34.243215	43.45	1815.0518	0.2748293	112.49309	3.9998898	-1.4210855e-14	-63.296211	-0.4361076
5	180	0	34.304514	43.45	1795.0698	0.27409205	112.5509	4.999717	-1.4210855e-14	-64.274034	-0.43892619
6	180	0	34.366929	43.45	1774.7343	0.27332275	112.62147	5.9998428	-1.4210855e-14	-65.09036	-0.44241227
7	180	0	34.4306	43.45	1754.0095	0.27251647	112.70478	6.9998236	-1.4210855e-14	-65.7872	-0.44658971
8	180	0	34.495535	43.45	1732.9029	0.27166961	112.80076	7.9997384	-1.4210855e-14	-66.388331	-0.45148618
9	180	0	34.561647	43.45	1711.4541	0.27077969	112.90937	8.9998348	-1.4210855e-14	-66.909962	-0.45713306
10	180	0	34.628759	43.45	1689.7297	0.26984532	113.03057	9.9998227	-1.4210855e-14	-67.363141	-0.46356551
11	180	0	34.696675	43.45	1667.8033	0.26886558	113.16429	10.999939	-1.4210855e-14	-67.757362	-0.47082029
12	180	0	34.765165	43.45	1645.7588	0.26784019	113.31048	11.999881	-1.4210855e-14	-68.100139	-0.47893564
13	180	0	34.834009	43.45	1623.676	0.26676904	113.46909	12.999844	-1.4210855e-14	-68.39769	-0.4879536
14	180	0	34.902988	43.45	1601.6331	0.26565232	113.64004	13.999866	-1.4210855e-14	-68.655512	-0.49791963
15	180	0	34.97189	43.45	1579.7058	0.26449047	113.8233	14.999781	-1.4210855e-14	-68.878298	-0.50888282
16	180	0	35.040533	43.45	1557.9592	0.26328394	114.01879	15.999775	-1.4210855e-14	-69.070285	-0.52089628
17	180	0	35.108741	43.45	1536.455	0.26203337	114.22647	16.999777	-1.4210855e-14	-69.234687	-0.53401943
18	180	0	35.176359	43.45	1515.2474	0.2607395	114.44633	17.999742	-1.4210855e-14	-69.374784	-0.54831905
19	180	0	35.243262	43.45	1494.3803	0.25940298	114.67833	18.99994	-1.4210855e-14	-69.493405	-0.56386611
20	180	0	35.309318	43.45	1473.8996	0.25802486	114.92247	19.999746	-1.4210855e-14	-69.592911	-0.58073742

0	190	0	29.395601	41.572275	3789.3024	0.27762664	112.39016	0.00060496918	8.9447202	-45.475153	-0.8568438
1	190	0	34.12803	42.47166	1874.3227	0.27692972	112.39661	0.99993846	9.4185581	-57.603735	-0.42899497
2	190	0	34.188215	42.48373	1854.461	0.27623819	112.41592	1.9999359	9.4253347	-60.446252	-0.42991348
3	190	0	34.24777	42.49569	1834.7898	0.2755417	112.44809	2.9998418	9.4320605	-62.124938	-0.43144919
4	190	0	34.3075	42.507702	1815.0518	0.2748293	112.49309	3.9998898	9.4388259	-63.347724	-0.43361349
5	190	0	34.367968	42.519881	1795.0698	0.27409205	112.5509	4.999717	9.4456956	-64.324669	-0.43642214
6	190	0	34.429536	42.532299	1774.7343	0.27332275	112.62147	5.9998428	9.4527114	-65.140144	-0.43989496
7	190	0	34.492341	42.544987	1754.0095	0.27251647	112.70478	6.9998236	9.4598905	-65.836155	-0.44405571
8	190	0	34.556394	42.557946	1732.9029	0.27166961	112.80076	7.9997384	9.4672351	-66.436469	-0.44893195
9	190	0	34.621604	42.57116	1711.4541	0.27077969	112.90937	8.9998348	9.4747366	-66.957288	-0.45455489
10	190	0	34.687799	42.584595	1689.7297	0.26984532	113.03057	9.9998227	9.4823763	-67.409655	-0.46095954
11	190	0	34.754787	42.598214	1667.8033	0.26886558	113.16429	10.999939	9.4901331	-67.803059	-0.46818245
12	190	0	34.822339	42.611969	1645.7588	0.26784019	113.31048	11.999881	9.4979815	-68.145011	-0.47626171
13	190	0	34.890238	42.625819	1623.676	0.26676904	113.46909	12.999844	9.5058968	-68.441729	-0.48523913
14	190	0	34.958269	42.639719	1601.6331	0.26565232	113.64004	13.999866	9.5138543	-68.698707	-0.49515997
15	190	0	35.026223	42.653626	1579.7058	0.26449047	113.8233	14.999781	9.5218298	-68.920638	-0.50607308
16	190	0	35.093919	42.667504	1557.9592	0.26328394	114.01879	15.999775	9.5298017	-69.111757	-0.51803134
17	190	0	35.161185	42.681317	1536.455	0.26203337	114.22647	16.999777	9.5377496	-69.275281	-0.53109388
18	190	0	35.227868	42.695033	1515.2474	0.2607395	114.44633	17.999742	9.545655	-69.414489	-0.54532717
19	190	0	35.293844	42.708626	1494.3803	0.25940298	114.67833	18.99994	9.5535023	-69.532208	-0.56080186
20	190	0	35.358983	42.722069	1473.8996	0.25802486	114.92247	19.999746	9.5612755	-69.630803	-0.57759442

0	200	0	29.776822	39.735669	3789.3024	0.27762664	112.39016	0.00060497061	17.902476	-45.691034	-0.84094972
1	200	0	34.32654	41.518228	1874.3227	0.27692972	112.39661	0.99993846	18.849252	-57.752717	-0.42182213
2	200	0	34.384274	41.542111	1854.461	0.27623819	112.41592	1.9999359	18.86273	-60.59271	-0.42273988
3	200	0	34.441401	41.565778	1834.7898	0.2755417	112.44809	2.9998418	18.876105	-62.268905	-0.42426543
4	200	0	34.498691	41.589547	1815.0518	0.2748293	112.49309	3.9998898	18.889558	-63.489273	-0.42641021
5	200	0	34.556686	41.613643	1795.0698	0.27409205	112.5509	4.999717	18.903216	-64.463883	-0.4291899
6	200	0	34.615732	41.638213	1774.7343	0.27332275	112.62147	5.9998428	18.917163	-65.277099	-0.43262415
7	200	0	34.675961	41.663314	1754.0095	0.27251647	112.70478	6.9998236	18.931433	-65.970904	-0.43673644
8	200	0	34.737382	41.68895	1732.9029	0.27166961	112.80076	7.9997384	18.94603	-66.569046	-0.44155395
9	200	0	34.799909	41.71509	1711.4541	0.27077969	112.90937	8.9998348	18.960936	-67.087704	-0.44710746
10	200	0	34.863376	41.741667	1689.7297	0.26984532	113.03057	9.9998227	18.976116	-67.537907	-0.45343148
11	200	0	34.927599	41.768603	1667.8033	0.26886558	113.16429	10.999939	18.991526	-67.929134	-0.46056205
12	200	0	34.992358	41.79581	1645.7588	0.26784019	113.31048	11.999881	19.007115	-68.268886	-0.46853669
13	200	0	35.057445	41.823201	1623.676	0.26676904	113.46909	12.999844	19.022836	-68.563376	-0.47739667
14	200	0	35.122654	41.850689	1601.6331	0.26565232	113.64004	13.999866	19.038638	-68.818095	-0.48718659
15	200	0	35.187784	41.878191	1579.7058	0.26449047	113.8233	14.999781	19.054473	-69.037735	-0.49795465
16	200	0	35.252663	41.905633	1557.9592	0.26328394	114.01879	15.999775	19.070299	-69.22653	-0.50975302
17	200	0	35.317124	41.932945	1536.455	0.26203337	114.22647	16.999777	19.086076	-69.387694	-0.52264002
18	200	0	35.381022	41.960063	1515.2474	0.2607395	114.44633	17.999742	19.101765	-69.524508	-0.53668124
19	200	0	35.444239	41.986937	1494.3803	0.25940298	114.67833	18.99994	19.117338	-69.6398	-0.55194638
20	200	0	35.506649	42.013513	1473.8996	0.25802486	114.92247	19.999746	19.132761	-69.735936	-0.5685109

0	210	0	30.402453	37.981072	3789.3024	0.27762664	112.39016	0.0006049603	26.887348	-45.978944	-0.81651357
1	210	0	34.651697	40.614285	1874.3227	0.27692972	112.39661	0.99993846	28.304373	-57.96054	-0.41078757
2	210	0	34.705406	40.649473	1854.461	0.27623819	112.41592	1.9999359	28.324393	-60.797239	-0.41170318
3	210	0	34.758544	40.684338	1834.7898	0.2755417	112.44809	2.9998418	28.344257	-62.470175	-0.41321214
4	210	0	34.811829	40.71935	1815.0518	0.2748293	112.49309	3.9998898	28.364232	-63.687376	-0.41532593
5	210	0	34.865763	40.754843	1795.0698	0.27409205	112.5509	4.999717	28.384508	-64.65893	-0.41806011
6	210	0	34.920669	40.79103	1774.7343	0.27332275	112.62147	5.9998428	28.405209	-65.469184	-0.42143402
7	210	0	34.976668	40.827995	1754.0095	0.27251647	112.70478	6.9998236	28.426384	-66.160096	-0.42547071
8	210	0	35.033769	40.865746	1732.9029	0.27166961	112.80076	7.9997384	28.44804	-66.755385	-0.43019678
9	210	0	35.091891	40.904235	1711.4541	0.27077969	112.90937	8.9998348	28.470151	-67.271204	-0.43564235
10	210	0	35.150881	40.943363	1689.7297	0.26984532	113.03057	9.9998227	28.492661	-67.71856	-0.44184112
11	210	0	35.210564	40.983017	1667.8033	0.26886558	113.16429	10.999939	28.515508	-68.106916	-0.44882833
12	210	0	35.270739	41.023066	1645.7588	0.26784019	113.31048	11.999881	28.538617	-68.443762	-0.45664069
13	210	0	35.331211	41.063381	1623.676	0.26676904	113.46909	12.999844	28.561914	-68.735304	-0.46531854
14	210	0	35.391789	41.103836	1601.6331	0.26565232	113.64004	13.999866	28.585327	-68.987026	-0.47490553
15	210	0	35.452286	41.144307	1579.7058	0.26449047	113.8233	14.999781	28.608784	-69.203618	-0.48544881
16	210	0	35.512541	41.184686	1557.9592	0.26328394	114.01879	15.999775	28.632221	-69.389312	-0.49699946
17	210	0	35.572401	41.224869	1536.455	0.26203337	114.22647	16.999777	28.65558	-69.547322	-0.50961458
18	210	0	35.631731	41.264764	1515.2474	0.2607395	114.44633	17.999742	28.678805	-69.680926	-0.52335835
19	210	0	35.690421	41.304296	1494.3803	0.25940298	114.67833	18.99994	28.701852	-69.792954	-0.53829903
20	210	0	35.748354	41.343384	1473.8996	0.25802486	114.92247	19.999746	28.724672	-69.885773	-0.55451052

0	220	0	31.258041	36.348941	3789.3024	0.27762664	112.39016	0.00060496568	35.915433	-46.267982	-0.7865968
1	220	0	35.095052	39.783758	1874.3227	0.27692972	112.39661	0.99993846	37.796484	-58.183082	-0.39723332
2	220	0	35.143252	39.829482	1854.461	0.27623819	112.41592	1.9999359	37.822788	-61.016582	-0.39814393
3	220	0	35.190931	39.874781	1834.7898	0.2755417	112.44809	2.9998418	37.848879	-62.686344	-0.39963018
4	220	0	35.238734	39.920268	1815.0518	0.2748293	112.49309	3.9998898	37.875109	-63.900458	-0.40170357
5	220	0	35.287111	39.966373	1795.0698	0.27409205	112.5509	4.999717	37.901727	-64.869031	-0.40437945
6	220	0	35.336351	40.013374	1774.7343	0.27332275	112.62147	5.9998428	37.928894	-65.676397	-0.40767677
7	220	0	35.386564	40.06138	1754.0095	0.27251647	112.70478	6.9998236	37.956677	-66.36449	-0.41161802
8	220	0	35.437754	40.110401	1732.9029	0.27166961	112.80076	7.9997384	37.985083	-66.956997	-0.41622908
9	220	0	35.489851	40.160374	1711.4541	0.27077969	112.90937	8.9998348	38.014076	-67.470043	-0.4215392
10	220	0	35.542715	40.211169	1689.7297	0.26984532	113.03057	9.9998227	38.043585	-67.914614	-0.42758114
