# theta [deg]	wasp_takeoff_angle [deg]	n_b	lat_0 [deg]	lon_0 [deg]	Travel Time [s]	Celerity [km/s]	Turning Height [km]	Inclination [deg]	Back Azimuth [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]
6	20	0	42.812892	45.482683	1774.7343	0.27332275	112.62147	5.9998428	-158.67165	-65.132655	-0.43612741
7	20	0	42.753578	45.451145	1754.0095	0.27251647	112.70478	6.9998236	-158.69307	-65.830132	-0.44021704
8	20	0	42.693076	45.419042	1732.9029	0.27166961	112.80076	7.9997384	-158.71485	-66.431908	-0.44501506
9	20	0	42.63147	45.386422	1711.4541	0.27077969	112.90937	8.9998348	-158.73695	-66.95418	-0.4505523
10	20	0	42.568922	45.353375	1689.7297	0.26984532	113.03057	9.9998227	-158.75932	-67.40799	-0.45686337
11	20	0	42.505614	45.319999	1667.8033	0.26886558	113.16429	10.999939	-158.78189	-67.802821	-0.46398445
12	20	0	42.441763	45.28641	1645.7588	0.26784019	113.31048	11.999881	-158.80457	-68.146177	-0.4719532
13	20	0	42.377571	45.252715	1623.676	0.26676904	113.46909	12.999844	-158.82729	-68.44427	-0.48081103
14	20	0	42.313243	45.219024	1601.6331	0.26565232	113.64004	13.999866	-158.84999	-68.70259	-0.49060272
15	20	0	42.248977	45.185439	1579.7058	0.26449047	113.8233	14.999781	-158.87258	-68.925822	-0.5013766
16	20	0	42.184944	45.152049	1557.9592	0.26328394	114.01879	15.999775	-158.89502	-69.118196	-0.51318499
17	20	0	42.121307	45.118936	1536.455	0.26203337	114.22647	16.999777	-158.91724	-69.282924	-0.52608641
18	20	0	42.05821	45.086176	1515.2474	0.2607395	114.44633	17.999742	-158.9392	-69.423279	-0.5401466
19	20	0	41.995771	45.053826	1494.3803	0.25940298	114.67833	18.99994	-158.96086	-69.542087	-0.55543544
20	20	0	41.934114	45.021948	1473.8996	0.25802486	114.92247	19.999746	-158.98217	-69.641707	-0.57202859

0	30	0	46.736202	50.338531	3789.3024	0.27762664	112.39016	0.00060496841	-145.31109	-45.310971	-0.84821712
1	30	0	42.731557	46.62609	1874.3227	0.27692972	112.39661	0.99993846	-147.92601	-57.648143	-0.41815601
2	30	0	42.679853	46.582023	1854.461	0.27623819	112.41592	1.9999359	-147.9559	-60.492559	-0.41898744
3	30	0	42.628672	46.538489	1834.7898	0.2755417	112.44809	2.9998418	-147.9854	-62.173059	-0.42042225
4	30	0	42.577324	46.494897	1815.0518	0.2748293	112.49309	3.9998898	-148.01491	-63.397626	-0.42247046
5	30	0	42.525323	46.450839	1795.0698	0.27409205	112.5509	4.999717	-148.0447	-64.37635	-0.42514651
6	30	0	42.472357	46.406054	1774.7343	0.27332275	112.62147	5.9998428	-148.07496	-65.193619	-0.42846907
7	30	0	42.418308	46.360446	1754.0095	0.27251647	112.70478	6.9998236	-148.10574	-65.891436	-0.43246085
8	30	0	42.363167	46.314013	1732.9029	0.27166961	112.80076	7.9997384	-148.13704	-66.493564	-0.43714837
9	30	0	42.307008	46.266823	1711.4541	0.27077969	112.90937	8.9998348	-148.16882	-67.016189	-0.44256183
10	30	0	42.249979	46.219004	1689.7297	0.26984532	113.03057	9.9998227	-148.20099	-67.47034	-0.44873517
11	30	0	42.192247	46.170701	1667.8033	0.26886558	113.16429	10.999939	-148.23345	-67.865492	-0.45570388
12	30	0	42.134007	46.122078	1645.7588	0.26784019	113.31048	11.999881	-148.26609	-68.209136	-0.46350495
13	30	0	42.075445	46.073295	1623.676	0.26676904	113.46909	12.999844	-148.2988	-68.507478	-0.47217902
14	30	0	42.016747	46.024506	1601.6331	0.26565232	113.64004	13.999866	-148.33147	-68.765998	-0.48177006
15	30	0	41.958093	45.975861	1579.7058	0.26449047	113.8233	14.999781	-148.36402	-68.989376	-0.49232554
16	30	0	41.899641	45.927488	1557.9592	0.26328394	114.01879	15.999775	-148.39634	-69.181834	-0.50389683
17	30	0	41.841539	45.87951	1536.455	0.26203337	114.22647	16.999777	-148.42836	-69.346581	-0.51654136
18	30	0	41.78392	45.832032	1515.2474	0.2607395	114.44633	17.999742	-148.46002	-69.486884	-0.53032369
19	30	0	41.72689	45.78514	1494.3803	0.25940298	114.67833	18.99994	-148.49124	-69.605564	-0.54531243
20	30	0	41.670564	45.738923	1473.8996	0.25802486	114.92247	19.999746	-148.52199	-69.70498	-0.56158184

0	40	0	45.674629	52.148694	3789.3024	0.27762664	112.39016	0.00060496111	-134.13974	-45.342161	-0.83295521
1	40	0	42.238325	47.502341	1874.3227	0.27692972	112.39661	0.99993846	-137.3672	-57.744581	-0.40827902
2	40	0	42.193428	47.446569	1854.461	0.27623819	112.41592	1.9999359	-137.40467	-60.588694	-0.40906455
3	40	0	42.148972	47.391457	1834.7898	0.2755417	112.44809	2.9998418	-137.44167	-62.268868	-0.41044072
4	40	0	42.104359	47.336261	1815.0518	0.2748293	112.49309	3.9998898	-137.4787	-63.493131	-0.41241681
5	40	0	42.059167	47.28046	1795.0698	0.27409205	112.5509	4.999717	-137.51609	-64.471596	-0.41500653
6	40	0	42.013124	47.223724	1774.7343	0.27332275	112.62147	5.9998428	-137.55408	-65.28865	-0.41822786
7	40	0	41.966126	47.165932	1754.0095	0.27251647	112.70478	6.9998236	-137.59275	-65.98629	-0.42210274
8	40	0	41.918164	47.107079	1732.9029	0.27166961	112.80076	7.9997384	-137.63208	-66.588261	-0.42665695
9	40	0	41.869304	47.047251	1711.4541	0.27077969	112.90937	8.9998348	-137.67203	-67.110735	-0.43191987
10	40	0	41.819672	46.986612	1689.7297	0.26984532	113.03057	9.9998227	-137.71249	-67.564725	-0.43792458
11	40	0	41.769413	46.925341	1667.8033	0.26886558	113.16429	10.999939	-137.75332	-67.959692	-0.4447057
12	40	0	41.718696	46.86365	1645.7588	0.26784019	113.31048	11.999881	-137.7944	-68.303118	-0.45229931
13	40	0	41.667684	46.801739	1623.676	0.26676904	113.46909	12.999844	-137.83558	-68.601195	-0.4607451
14	40	0	41.616538	46.739804	1601.6331	0.26565232	113.64004	13.999866	-137.87673	-68.859396	-0.47008597
15	40	0	41.565417	46.678036	1579.7058	0.26449047	113.8233	14.999781	-137.91773	-69.082393	-0.48036827
16	40	0	41.514455	46.616598	1557.9592	0.26328394	114.01879	15.999775	-137.95847	-69.274403	-0.49164216
17	40	0	41.463784	46.555645	1536.455	0.26203337	114.22647	16.999777	-137.99885	-69.438627	-0.50396371
18	40	0	41.413519	46.495313	1515.2474	0.2607395	114.44633	17.999742	-138.03878	-69.57833	-0.51739593
19	40	0	41.363754	46.43571	1494.3803	0.25940298	114.67833	18.99994	-138.07819	-69.696328	-0.53200581
20	40	0	41.31459	46.376952	1473.8996	0.25802486	114.92247	19.999746	-138.117	-69.794976	-0.54786585

0	50	0	44.392975	53.60122	3789.3024	0.27762664	112.39016	0.00060496245	-123.24734	-45.459104	-0.81093117
1	50	0	41.635519	48.235533	1874.3227	0.27692972	112.39661	0.99993846	-126.9102	-57.879409	-0.39648814
2	50	0	41.598861	48.170302	1854.461	0.27623819	112.41592	1.9999359	-126.95352	-60.722312	-0.3972365
3	50	0	41.56255	48.105825	1834.7898	0.2755417	112.44809	2.9998418	-126.99632	-62.401273	-0.3985602
4	50	0	41.526096	48.04123	1815.0518	0.2748293	112.49309	3.9998898	-127.03915	-63.624371	-0.40046794
5	50	0	41.489154	47.97591	1795.0698	0.27409205	112.5509	4.999717	-127.08244	-64.601737	-0.40297284
6	50	0	41.451501	47.909477	1774.7343	0.27332275	112.62147	5.9998428	-127.12644	-65.41776	-0.40609215
7	50	0	41.413051	47.841787	1754.0095	0.27251647	112.70478	6.9998236	-127.17123	-66.114418	-0.40984708
8	50	0	41.373796	47.772834	1732.9029	0.27166961	112.80076	7.9997384	-127.21682	-66.715439	-0.41426256
9	50	0	41.333788	47.702719	1711.4541	0.27077969	112.90937	8.9998348	-127.26315	-67.236973	-0.4193671
10	50	0	41.293132	47.63163	1689.7297	0.26984532	113.03057	9.9998227	-127.31008	-67.690017	-0.42519278
11	50	0	41.251943	47.55978	1667.8033	0.26886558	113.16429	10.999939	-127.35748	-68.084016	-0.43177323
12	50	0	41.210362	47.487414	1645.7588	0.26784019	113.31048	11.999881	-127.40517	-68.42644	-0.43914352
13	50	0	41.16852	47.414767	1623.676	0.26676904	113.46909	12.999844	-127.45301	-68.723472	-0.44734221
14	50	0	41.12655	47.342071	1601.6331	0.26565232	113.64004	13.999866	-127.50085	-68.980575	-0.45641103
15	50	0	41.084582	47.269548	1579.7058	0.26449047	113.8233	14.999781	-127.54853	-69.202417	-0.46639506
16	50	0	41.042726	47.197391	1557.9592	0.26328394	114.01879	15.999775	-127.59593	-69.393207	-0.47734308
17	50	0	41.001091	47.125782	1536.455	0.26203337	114.22647	16.999777	-127.64293	-69.556143	-0.48930963
18	50	0	40.959772	47.054881	1515.2474	0.2607395	114.44633	17.999742	-127.68943	-69.694483	-0.50235599
19	50	0	40.918848	46.984817	1494.3803	0.25940298	114.67833	18.99994	-127.73534	-69.811043	-0.51654734
20	50	0	40.8784	46.915725	1473.8996	0.25802486	114.92247	19.999746	-127.78057	-69.908175	-0.53195419

0	60	0	42.942436	54.665047	3789.3024	0.27762664	112.39016	0.00060495617	-112.64812	-45.661822	-0.78360231
1	60	0	40.944164	48.804661	1874.3227	0.27692972	112.39661	0.99993846	-116.56765	-58.044289	-0.3838131
2	60	0	40.916855	48.732452	1854.461	0.27623819	112.41592	1.9999359	-116.61496	-60.885067	-0.38454114
3	60	0	40.889787	48.661055	1834.7898	0.2755417	112.44809	2.9998418	-116.66171	-62.561922	-0.385828
4	60	0	40.862596	48.589507	1815.0518	0.2748293	112.49309	3.9998898	-116.70853	-63.782982	-0.38768213
5	60	0	40.835022	48.517132	1795.0698	0.27409205	112.5509	4.999717	-116.75587	-64.758397	-0.39011621
6	60	0	40.8069	48.443501	1774.7343	0.27332275	112.62147	5.9998428	-116.804	-65.572546	-0.39314696
7	60	0	40.778164	48.368453	1754.0095	0.27251647	112.70478	6.9998236	-116.85304	-66.26739	-0.3967949
8	60	0	40.748807	48.291981	1732.9029	0.27166961	112.80076	7.9997384	-116.90297	-66.866632	-0.40108421
9	60	0	40.718867	48.214194	1711.4541	0.27077969	112.90937	8.9998348	-116.95373	-67.386402	-0.40604248
10	60	0	40.68842	48.135301	1689.7297	0.26984532	113.03057	9.9998227	-117.00518	-67.837678	-0.41170081
11	60	0	40.657554	48.055536	1667.8033	0.26886558	113.16429	10.999939	-117.05716	-68.229891	-0.41809182
12	60	0	40.626372	47.975172	1645.7588	0.26784019	113.31048	11.999881	-117.10951	-68.570499	-0.42524953
13	60	0	40.594972	47.894469	1623.676	0.26676904	113.46909	12.999844	-117.16204	-68.865678	-0.4332114
14	60	0	40.563454	47.813683	1601.6331	0.26565232	113.64004	13.999866	-117.21459	-69.120884	-0.44201794
15	60	0	40.531915	47.733062	1579.7058	0.26449047	113.8233	14.999781	-117.267	-69.340778	-0.45171294
