# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
86.493407	39.179914	43.45	-115.4422	-0.0074086609	328.14414
87.591047	39.185221	43.45	-116.30729	-0.0075813265	332.47237
88.689613	39.190511	43.45	-117.17371	-0.0077852621	336.81373
89.789396	39.195782	43.45	-118.04192	-0.0080267078	341.17223
90.890675	39.201026	43.45	-118.91328	-0.0083132235	345.55197
91.993687	39.206241	43.45	-119.79026	-0.0086541505	349.95658
93.098527	39.211424	43.45	-120.67463	-0.0090608612	354.38787
94.205132	39.216577	43.45	-121.56725	-0.0095474182	358.84545
95.313286	39.221703	43.45	-122.46871	-0.010131285	363.32659
96.422672	39.226807	43.45	-123.3787	-0.010834075	367.82691
97.532843	39.231897	43.45	-124.29619	-0.011682705	372.33985
98.643251	39.236982	43.45	-125.21948	-0.012710551	376.85718
99.75324	39.242073	43.45	-126.14543	-0.013958694	381.36892
100.86201	39.247184	43.45	-127.07015	-0.015477343	385.86305
101.96868	39.252329	43.45	-127.989	-0.017327039	390.32694
103.0724	39.257523	43.45	-128.89664	-0.019579213	394.74921
104.17232	39.262779	43.45	-129.78803	-0.022316854	399.11944
105.26761	39.26811	43.45	-130.65975	-0.025635366	403.42871
106.35742	39.273527	43.45	-131.50799	-0.029642809	407.66933
107.44088	39.279041	43.45	-132.3297	-0.034459994	411.83477
108.5171	39.284664	43.45	-133.12245	-0.040219146	415.91956
109.5852	39.290407	43.45	-133.88478	-0.04706411	419.91979
110.64427	39.296277	43.45	-134.61475	-0.055147008	423.83256
111.69338	39.302285	43.45	-135.31202	-0.06462753	427.65604
112.73158	39.308438	43.45	-135.97616	-0.075670639	431.38928
113.75791	39.314744	43.45	-136.60737	-0.088444365	435.03208
114.77136	39.321209	43.45	-137.20576	-0.10311686	438.58502
115.77093	39.32784	43.45	-137.77147	-0.11985286	442.04922
116.7556	39.334642	43.45	-138.30566	-0.13881046	445.42649
117.72443	39.341617	43.45	-138.8089	-0.1601384	448.71943
118.67652	39.348769	43.45	-139.28266	-0.18397165	451.93113
119.61111	39.356098	43.45	-139.72874	-0.21043092	455.06538
120.52759	39.363602	43.45	-140.14878	-0.23961893	458.12651
121.42556	39.371278	43.45	-140.54537	-0.27161919	461.11925
122.3049	39.379118	43.45	-140.92144	-0.30649694	464.04891
123.16579	39.387116	43.45	-141.27903	-0.34429516	466.92112
124.00848	39.395262	43.45	-141.6206	-0.38504545	469.74095
124.83332	39.403548	43.45	-141.94876	-0.42877227	472.51314
125.64064	39.411966	43.45	-142.26434	-0.47549571	475.2418
126.43059	39.42051	43.45	-142.56846	-0.52523637	477.93013
127.20334	39.429175	43.45	-142.86214	-0.57800639	480.58108
127.95907	39.437954	43.45	-143.1462	-0.63381017	483.19731
128.69794	39.446844	43.45	-143.42135	-0.69264595	485.7812
129.42008	39.455839	43.45	-143.68837	-0.7545064	488.33487
130.12566	39.464934	43.45	-143.94793	-0.81937873	490.86029
130.81483	39.474126	43.45	-144.20064	-0.88724439	493.35926
131.48775	39.48341	43.45	-144.447	-0.95807995	495.83342
132.14455	39.492782	43.45	-144.68734	-1.0318574	498.2843
132.78537	39.502238	43.45	-144.92191	-1.1085431	500.71325
133.41033	39.511776	43.45	-145.15095	-1.188098	503.12153
134.01954	39.521392	43.45	-145.37498	-1.2704793	505.5103
134.61312	39.531082	43.45	-145.59457	-1.3556424	507.88067
135.19123	39.540844	43.45	-145.80973	-1.4435391	510.23369
135.75397	39.550674	43.45	-146.02055	-1.534116	512.5703
136.30145	39.56057	43.45	-146.22729	-1.6273173	514.89138
136.83378	39.57053	43.45	-146.4301	-1.7230859	517.19775
137.35103	39.580549	43.45	-146.629	-1.8213614	519.49018
137.85331	39.590627	43.45	-146.82428	-1.9220807	521.76938
138.34071	39.600761	43.45	-147.01635	-2.0251797	524.03606
138.81336	39.610948	43.45	-147.20523	-2.1305942	526.29088
139.27133	39.621186	43.45	-147.39073	-2.2382573	528.53445
139.7147	39.631472	43.45	-147.57293	-2.3481009	530.76734
