# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
78.818702	0.011923517	0.013235627	-109.36254	-0.006725694	297.98271
79.915053	0.011925142	0.013235627	-110.23578	-0.0067874389	302.28882
81.011308	0.011926767	0.013235627	-111.1072	-0.0068575195	306.59441
82.107483	0.011928392	0.013235627	-111.97669	-0.0069376371	310.89968
83.203647	0.011930017	0.013235627	-112.84489	-0.0070299351	315.20553
84.299916	0.011931641	0.013235627	-113.71154	-0.0071370242	319.51349
85.396437	0.011933264	0.013235627	-114.57711	-0.0072620276	323.82549
86.493407	0.011934884	0.013235627	-115.4422	-0.0074086609	328.14414
87.591047	0.011936501	0.013235627	-116.30729	-0.0075813265	332.47237
88.689613	0.011938112	0.013235627	-117.17371	-0.0077852621	336.81373
89.789396	0.011939718	0.013235627	-118.04192	-0.0080267078	341.17223
90.890675	0.011941315	0.013235627	-118.91328	-0.0083132235	345.55197
91.993687	0.011942904	0.013235627	-119.79026	-0.0086541505	349.95658
93.098527	0.011944483	0.013235627	-120.67463	-0.0090608612	354.38787
94.205132	0.011946053	0.013235627	-121.56725	-0.0095474182	358.84545
95.313286	0.011947614	0.013235627	-122.46871	-0.010131285	363.32659
96.422672	0.011949169	0.013235627	-123.3787	-0.010834075	367.82691
97.532843	0.011950719	0.013235627	-124.29619	-0.011682705	372.33985
98.643251	0.011952268	0.013235627	-125.21948	-0.012710551	376.85718
99.75324	0.011953819	0.013235627	-126.14543	-0.013958694	381.36892
100.86201	0.011955376	0.013235627	-127.07015	-0.015477343	385.86305
101.96868	0.011956943	0.013235627	-127.989	-0.017327039	390.32694
103.0724	0.011958526	0.013235627	-128.89664	-0.019579213	394.74921
104.17232	0.011960127	0.013235627	-129.78803	-0.022316854	399.11944
105.26761	0.01196175	0.013235627	-130.65975	-0.025635366	403.42871
106.35742	0.0119634	0.013235627	-131.50799	-0.029642809	407.66933
107.44088	0.01196508	0.013235627	-132.3297	-0.034459994	411.83477
108.5171	0.011966793	0.013235627	-133.12245	-0.040219146	415.91956
109.5852	0.011968542	0.013235627	-133.88478	-0.04706411	419.91979
110.64427	0.011970331	0.013235627	-134.61475	-0.055147008	423.83256
111.69338	0.011972161	0.013235627	-135.31202	-0.06462753	427.65604
112.73158	0.011974035	0.013235627	-135.97616	-0.075670639	431.38928
113.75791	0.011975956	0.013235627	-136.60737	-0.088444365	435.03208
114.77136	0.011977925	0.013235627	-137.20576	-0.10311686	438.58502
115.77093	0.011979945	0.013235627	-137.77147	-0.11985286	442.04922
116.7556	0.011982017	0.013235627	-138.30566	-0.13881046	445.42649
117.72443	0.011984142	0.013235627	-138.8089	-0.1601384	448.71943
118.67652	0.011986321	0.013235627	-139.28266	-0.18397165	451.93113
119.61111	0.011988553	0.013235627	-139.72874	-0.21043092	455.06538
120.52759	0.011990839	0.013235627	-140.14878	-0.23961893	458.12651
121.42556	0.011993177	0.013235627	-140.54537	-0.27161919	461.11925
122.3049	0.011995565	0.013235627	-140.92144	-0.30649694	464.04891
123.16579	0.011998002	0.013235627	-141.27903	-0.34429516	466.92112
124.00848	0.012000483	0.013235627	-141.6206	-0.38504545	469.74095
124.83332	0.012003007	0.013235627	-141.94876	-0.42877227	472.51314
125.64064	0.012005571	0.013235627	-142.26434	-0.47549571	475.2418
126.43059	0.012008174	0.013235627	-142.56846	-0.52523637	477.93013
127.20334	0.012010813	0.013235627	-142.86214	-0.57800639	480.58108
127.95907	0.012013488	0.013235627	-143.1462	-0.63381017	483.19731
128.69794	0.012016196	0.013235627	-143.42135	-0.69264595	485.7812
129.42008	0.012018936	0.013235627	-143.68837	-0.7545064	488.33487
130.12566	0.012021706	0.013235627	-143.94793	-0.81937873	490.86029
130.81483	0.012024506	0.013235627	-144.20064	-0.88724439	493.35926
131.48775	0.012027334	0.013235627	-144.447	-0.95807995	495.83342
132.14455	0.012030189	0.013235627	-144.68734	-1.0318574	498.2843
132.78537	0.01203307	0.013235627	-144.92191	-1.1085431	500.71325
133.41033	0.012035975	0.013235627	-145.15095	-1.188098	503.12153
134.01954	0.012038904	0.013235627	-145.37498	-1.2704793	505.5103
134.61312	0.012041856	0.013235627	-145.59457	-1.3556424	507.88067
135.19123	0.01204483	0.013235627	-145.80973	-1.4435391	510.23369
135.75397	0.012047824	0.013235627	-146.02055	-1.534116	512.5703
136.30145	0.012050839	0.013235627	-146.22729	-1.6273173	514.89138
136.83378	0.012053873	0.013235627	-146.4301	-1.7230859	517.19775
137.35103	0.012056925	0.013235627	-146.629	-1.8213614	519.49018
137.85331	0.012059995	0.013235627	-146.82428	-1.9220807	521.76938
138.34071	0.012063082	0.013235627	-147.01635	-2.0251797	524.03606
138.81336	0.012066185	0.013235627	-147.20523	-2.1305942	526.29088
139.27133	0.012069303	0.013235627	-147.39073	-2.2382573	528.53445
139.7147	0.012072437	0.013235627	-147.57293	-2.3481009	530.76734
140.14354	0.012075585	0.013235627	-147.75214	-2.4600563	532.9901
140.55794	0.012078746	0.013235627	-147.92851	-2.574055	535.20324
140.95798	0.012081921	0.013235627	-148.10202	-2.6900282	537.40727
141.34374	0.012085108	0.013235627	-148.27267	-2.8079069	539.60267
141.71526	0.012088307	0.013235627	-148.44052	-2.9276215	541.78987
142.07264	0.012091517	0.013235627	-148.60568	-3.0491023	543.96932
142.41592	0.012094739	0.013235627	-148.76822	-3.1722791	546.14142
142.74517	0.01209797	0.013235627	-148.92814	-3.2970822	548.30658
143.06046	0.012101212	0.013235627	-149.08539	-3.4234418	550.46517
143.36183	0.012104462	0.013235627	-149.24001	-3.5512887	552.61756
143.64933	0.012107722	0.013235627	-149.39207	-3.6805541	554.7641
143.92301	0.01211099	0.013235627	-149.54167	-3.8111693	556.90513
144.18292	0.012114266	0.013235627	-149.68886	-3.9430661	559.04098
144.42911	0.012117549	0.013235627	-149.83364	-4.0761765	561.17197
144.66163	0.01212084	0.013235627	-149.97592	-4.2104334	563.29841
144.8805	0.012124137	0.013235627	-150.11564	-4.3457697	565.42059
145.08576	0.01212744	0.013235627	-150.25273	-4.4821191	567.53881
145.27744	0.012130749	0.013235627	-150.38724	-4.6194154	569.65334
145.45554	0.012134063	0.013235627	-150.51928	-4.757593	571.76447
145.62012	0.012137383	0.013235627	-150.649	-4.8965863	573.87246
145.77119	0.012140706	0.013235627	-150.7765	-5.0363303	575.97758
145.90879	0.012144034	0.013235627	-150.9019	-5.17676	578.0801
146.03296	0.012147366	0.013235627	-151.02527	-5.3178109	580.18026
146.14372	0.012150701	0.013235627	-151.14664	-5.4594189	582.27834
146.24111	0.012154039	0.013235627	-151.26589	-5.6015201	584.37456
146.32514	0.012157379	0.013235627	-151.38292	-5.7440507	586.46918
146.39584	0.012160722	0.013235627	-151.49765	-5.8869474	588.56243
146.45321	0.012164066	0.013235627	-151.60998	-6.030147	590.65456
146.49726	0.012167412	0.013235627	-151.71987	-6.1735862	592.7458
